Apurimac.Linea.Base.2012,TOTAL.Evaluacion.2015,TOTAL.Linea.Base.2012,Caracteristica.seleccionada,Arequipa.Linea.Base.2012,Arequipa.Evaluacion.2015,Puno.Linea.Base.2012,Puno.Evaluacion.2015,Cusco.Linea.Base.2012,Grupo.Control,Apurimac.Evaluacion.2015,Cusco.Evaluacion.2015,timestamp,length
721.2435233,452.6162019,409.9601594,JUNTOS,0,0,10.84337349,33.13253012,855.6122449,174.375,832.1243523,891.4285714,,
10,54,13,Pensión 65 (Nfam),0,7,1,23,2,"",20,4,,
104.4559585,155.810093,30.83665339,Pensión 65,0,181.8181818,0.7228915663,226.2048193,15,"",198.8341969,27.55102041,,
7,9,9,Pensión de jubilación (Nfam),2,2,0,2,0,"",4,1,,
364.3523316,77.67596282,136.4143426,Pensión de jubilación,163.6363636,115.1515152,0,35,0,"",139.2746114,15.30612245,,
1,12,16,Transferencia de familias (Nfam),4,6,9,1,2,"",2,3,,
4.14507772,47.73572377,35.20584329,Transferencia de familias,76.76767677,118.1818182,50.06024096,10.84337349,11.2244898,"",10.3626943,44.61734694,,
8,51,42,Otro (Nfam),19,37,8,13,7,115,1,0,,
644.5595855,785.1792829,467.5033201,Otro,985.8585859,2715.656566,79.51807229,315.3012048,98.1122449,780.5,6.21761658,0,,
,,,,,,,,,,,,1650991763305,66
